PCCDB-ID,Open Babel SMILES,HOMO-LUMO gap,HOMO energy,LUMO energy,Dipole moment,Excitation energy (1st),Oscillator strength (1st),Excitation energy (2nd),Oscillator strength (2nd),Excitation energy (3rd),Oscillator strength (3rd),Excitation energy (4th),Oscillator strength (4th),Num. of H bond acceptor,Num. of H bond donor,TPSA,logP,Molecular refractivity,Melting point
20470,CCCCC(=O)N1CCCC1,7.252000000000001,-6.212000000000001,1.0390000000000001,3.87,5.585,0.0011,5.601,0.0106,5.94,0.0113,6.166,,2.0,0.0,20.31,1.7369999999999999,50.27,18.05
36004,CNCCC[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3,7.728,-5.829,1.899,0.9,5.301,0.0005,5.662000000000001,0.0032,5.815,0.0224,6.053,,1.0,1.0,12.03,3.593,65.61,81.72
12657,OC1=NCCCCCC1,6.977,-6.185,0.792,3.45,5.317,0.0003,5.65,0.0107,5.765,0.0073,5.996,,2.0,1.0,29.1,1.395,40.57,43.92
34718,O[C@@H]1CCC2(OC1)CCCC2,8.46,-6.6370000000000005,1.8230000000000002,2.07,6.119,0.0046,6.4510000000000005,0.0081,6.692,0.0126,6.747999999999999,,2.0,1.0,29.46,1.47,43.43,37.29
9100,C1CCC2(CC1)CO2,9.177999999999999,-6.934,2.245,1.82,6.582999999999999,0.0001,6.857,0.0063,7.05,0.0012,7.119,,1.0,0.0,12.53,1.72,32.66,20.0
20793,OC(=N)CCCN1CCCCC1,7.456,-6.362,1.094,6.16,5.462000000000001,0.0124,5.843999999999999,0.0048,5.861000000000001,0.0027,5.928999999999999,,3.0,1.0,46.33,1.376,52.98,72.3
26226,O[C@H](c1ccc(c(c1)O)O)CNC1CCCC1,5.693,-5.3229999999999995,0.37,4.11,4.758,0.0053,4.819,0.0573,5.043,0.0012,5.113,,4.0,4.0,72.72,2.0540000000000003,66.15,153.49
17617,C=CCOC(=O)CCC1CCCCC1,7.263,-7.1160000000000005,0.147,1.45,5.8229999999999995,0.0007,6.39,0.0346,6.7620000000000005,0.0649,6.871,,2.0,0.0,26.3,3.076,58.49,-16.13
33673,CCOC(=O)N1CCCCCC1,7.928999999999999,-6.252999999999999,1.676,2.29,5.781000000000001,0.0259,6.188,0.0289,6.263999999999999,0.0174,6.353,,3.0,0.0,29.54,1.9569999999999999,51.75,19.43
16275,O=CC1CCCCC1,6.188,-6.773,-0.585,2.51,4.229,0.0001,6.282,0.0149,6.455,0.0033,6.582999999999999,,1.0,0.0,17.07,1.766,33.85,27.08
30771,CC(=O)OCCC1CCCCC1,7.706,-7.274,0.433,1.58,5.809,0.0011,6.977,0.0296,7.206,0.0336,7.278,,2.0,0.0,26.3,2.52,49.35,5.8
28953,O=C1C=C[CH][CH][CH][C]1NCCN1CCOCC1,3.573,-5.297999999999999,-1.725,1.92,3.258,0.1011,3.576,0.013000000000000001,3.872,0.0504,3.9,,4.0,1.0,41.57,0.802,71.83,86.26
13229,C1CCC(CC1)c1ccccc1,6.446000000000001,-6.351,0.095,0.34,5.265,0.001,5.75,0.0439,5.933,0.0042,6.142,,0.0,0.0,0.0,3.734,53.33,26.41
13420,O=C1CCCCCCCCCC1,6.087000000000001,-6.444,-0.35600000000000004,2.44,4.229,0.0001,6.064,0.0067,6.425,0.0064,6.496,,1.0,0.0,17.07,3.47,53.08,14.09
18724,C1CCN(CC1)C1CCCCC1,6.944,-4.963,1.9809999999999999,0.51,4.4639999999999995,0.0065,4.752,0.0236,4.85,0.0125,4.963,,1.0,0.0,3.24,2.7430000000000003,57.57,17.91
18686,CCOC(=O)C1CCCCC1,7.516,-7.146,0.37,1.61,5.666,0.0011,6.831,0.0019,7.1129999999999995,0.0042,7.144,,2.0,0.0,26.3,2.13,44.55,6.46
11016,O=P(N1CC1)(N1CC1)N1CC1,8.852,-6.977,1.875,4.42,6.48,0.0092,6.539,0.0022,6.542999999999999,0.0022,6.778,,4.0,0.0,35.91,-0.145,53.71,18.04
21595,CCOC(=O)CC1CCCCC1,7.695,-7.26,0.435,1.49,5.8020000000000005,0.0007,6.905,0.0201,7.2620000000000005,0.009000000000000001,7.29,,2.0,0.0,26.3,2.52,49.35,5.8
35411,CCC1(C)CCCCC1,9.812999999999999,-7.72,2.093,0.06,7.212000000000001,0.0062,7.332999999999999,0.0095,7.439,0.0056,7.519,,0.0,0.0,0.0,3.367,43.0,12.71
