PCCDB-ID,Open Babel SMILES,HOMO-LUMO gap,HOMO energy,LUMO energy,Dipole moment,Excitation energy (1st),Oscillator strength (1st),Excitation energy (2nd),Oscillator strength (2nd),Excitation energy (3rd),Oscillator strength (3rd),Excitation energy (4th),Oscillator strength (4th),Num. of H bond acceptor,Num. of H bond donor,TPSA,logP,Molecular refractivity,Melting point
39542,CCCCCC(C#N)(CCCCC)C,9.374,-8.191,1.1840000000000002,3.75,7.565,0.0023,7.653,0.0059,7.761,0.0204,7.792000000000001,,1.0,0.0,23.79,4.677,64.09,21.38
25113,CCCCCC/N=C(\CCCCC)/O,7.244,-6.4,0.8440000000000001,3.66,5.5760000000000005,0.0006,5.821000000000001,0.0116,5.877000000000001,0.0059,6.196000000000001,,2.0,1.0,29.1,3.654,62.8,18.02
22873,CCCCCCOC(=O)CCCCC,7.7139999999999995,-7.252000000000001,0.46299999999999997,1.48,5.813,0.0007,6.965,0.0195,7.305,0.0211,7.409,,2.0,0.0,26.3,3.69,61.08,-18.11
8164,CCCCCCCCOC(=O)C,7.712000000000001,-7.255,0.457,1.76,5.812,0.0011,7.007000000000001,0.0346,7.395,0.009000000000000001,7.445,,2.0,0.0,26.3,2.91,51.47,-16.78
12381,OCCCCCCCO,8.656,-7.132000000000001,1.524,0.45,6.332999999999999,0.0069,6.465,0.0072,6.933,0.0042,7.034,,2.0,2.0,40.46,0.9209999999999999,38.09,10.01
31676,NCCCCCCC#N,7.159,-6.324,0.835,3.49,5.57,0.0255,5.959,0.0118,6.223,0.0163,6.3870000000000005,,2.0,1.0,49.81,2.119,38.22,60.92
14256,CCCCCCCCCCCC(=N)O,7.662999999999999,-7.007000000000001,0.6559999999999999,4.19,5.992999999999999,0.0021,6.265,0.0074,6.45,0.0164,6.771,,2.0,1.0,43.09,4.093,62.71,45.09
8183,CCCCCCCCCCC=C,7.5889999999999995,-6.751,0.838,0.39,6.435,0.0208,6.681,0.0097,6.835,0.0154,6.928999999999999,,0.0,0.0,0.0,4.703,59.32,-51.15
8924,NCCCCCCNCCCCCCN,7.619,-5.709,1.91,2.89,5.257999999999999,0.0122,5.406000000000001,0.0089,5.5729999999999995,0.0123,5.584,,3.0,3.0,64.07,3.406,68.01,105.13
1317,NCCCCCCCCCCN,8.057,-6.193,1.864,2.25,5.558,0.0329,5.5729999999999995,0.0284,6.145,0.0013,6.207999999999999,,2.0,2.0,52.04,3.425,55.6,79.28
