PCCDB-ID,Open Babel SMILES,HOMO-LUMO gap,HOMO energy,LUMO energy,Dipole moment,Excitation energy (1st),Oscillator strength (1st),Excitation energy (2nd),Oscillator strength (2nd),Excitation energy (3rd),Oscillator strength (3rd),Excitation energy (4th),Oscillator strength (4th),Num. of H bond acceptor,Num. of H bond donor,TPSA,logP,Molecular refractivity,Melting point
3276,OCC/N=C(\Cn1ccnc1N(=O)=O)/O,3.7119999999999997,-6.944,-3.233,4.98,3.278,0.0062,3.532,0.0201,3.654,0.0266,3.8280000000000003,,5.0,2.0,112.97,-0.18600000000000003,50.9,125.98
22766,CCCCCCc1cccnc1,6.18,-6.742999999999999,-0.563,2.38,4.801,0.0047,5.169,0.0001,5.334,0.0624,6.04,,1.0,0.0,12.89,3.2039999999999997,53.24,19.34
273,NCCCCCN,8.052,-6.223,1.829,1.68,5.577000000000001,0.0119,5.625,0.0086,6.172000000000001,0.0274,6.207000000000001,,2.0,2.0,52.04,1.475,31.56,82.6
30581,OCCC(=C)C(=O)OC(=O)CC(=O)C,5.0889999999999995,-7.105,-2.016,2.35,4.272,0.0131,4.314,0.0043,4.49,0.0024,4.692,,5.0,1.0,80.67,-0.026000000000000002,47.75,28.11
7620,CCCCN(CCO)CCO,7.946000000000001,-6.1579999999999995,1.788,1.7,5.5,0.0193,5.8420000000000005,0.0636,5.894,0.0349,6.122000000000001,,3.0,2.0,43.7,0.073,45.79,11.98
8130,CCCCCCC=O,6.207000000000001,-6.768,-0.561,2.94,4.221,0.0004,6.648,0.0206,6.8660000000000005,0.0229,7.07,,1.0,0.0,17.07,2.156,35.96,4.5
12328,COC(=O)CCCCC(=O)O,7.682,-7.41,0.272,3.17,5.75,0.0003,5.859,0.0006,6.465,0.0163,6.912000000000001,,4.0,1.0,63.6,0.804,38.82,62.37
26253,CCN(C(=S)C(=S)N(CC)CC)CC,4.261,-5.393,-1.1320000000000001,6.31,3.057,0.0002,3.3360000000000003,0.002,3.8360000000000003,0.0036,3.931,,4.0,0.0,70.66,2.325,71.56,36.77
1029,NC[C@H](CC[C@@H](C(=O)O)N)O,7.176,-6.702000000000001,0.473,3.63,5.398,0.0017,5.934,0.0059,6.117000000000001,0.0065,6.178999999999999,,5.0,4.0,109.57,-0.10099999999999999,39.3,177.71
23357,CCCC[C@@](C#C)(C=C)O,7.343999999999999,-7.086,0.259,1.19,6.21,0.0008,6.311,0.0175,6.393,0.0134,6.476,,1.0,1.0,20.23,1.7269999999999999,44.26,-2.16
15404,CCCCC(=C)CC,7.276,-6.474,0.8029999999999999,0.52,6.136,0.0322,6.371,0.1311,6.562,0.0103,6.686,,0.0,0.0,0.0,3.1430000000000002,40.1,-45.07
3279,CC[C@H](NCCN[C@H](CO)CC)CO,7.513,-5.8229999999999995,1.69,1.95,5.247000000000001,0.0035,5.4110000000000005,0.0146,5.537999999999999,0.0043,5.709,,4.0,4.0,64.52,0.489,58.11,62.38
