PCCDB-ID,Open Babel SMILES,HOMO-LUMO gap,HOMO energy,LUMO energy,Dipole moment,Excitation energy (1st),Oscillator strength (1st),Excitation energy (2nd),Oscillator strength (2nd),Excitation energy (3rd),Oscillator strength (3rd),Excitation energy (4th),Oscillator strength (4th),Num. of H bond acceptor,Num. of H bond donor,TPSA,logP,Molecular refractivity,Melting point
6142,OC(=N)Nc1cccc(c1)C,5.608,-5.84,-0.231,1.87,4.702,0.0197,5.065,0.1977,5.3229999999999995,0.0122,5.757999999999999,,3.0,2.0,55.12,2.259,44.01,128.68
38133,CN(CCc1ccc(o1)C)C,6.142,-5.47,0.672,0.54,5.129,0.0133,5.295,0.0164,5.523,0.0345,5.604,,2.0,0.0,16.38,1.692,45.96,11.86
7937,Cc1cccc(n1)C,6.101,-6.563,-0.46299999999999997,1.42,4.825,0.0042,5.234,0.0745,5.242999999999999,0.0044,6.042000000000001,,1.0,0.0,12.89,1.6980000000000002,34.17,27.5
547,OC(=O)Cc1ccc(c(c1)O)O,5.577999999999999,-6.06,-0.48200000000000004,4.46,4.751,0.0594,5.0360000000000005,0.0015,5.265,0.0449,5.327000000000001,,4.0,3.0,77.76,0.725,42.03,165.6
31594,OCc1ccc(cc1N(=O)=O)N,3.6630000000000003,-6.18,-2.517,5.53,2.9539999999999997,0.0296,3.702,0.0084,3.7969999999999997,0.0019,4.354,,2.0,2.0,92.07,1.774,45.8,115.73
10322,OCc1ccc2c(c1)OCO2,5.537999999999999,-5.5760000000000005,-0.038,1.86,4.709,0.0823,5.1160000000000005,0.0366,5.265,0.0244,5.5120000000000005,,3.0,1.0,38.69,0.9079999999999999,38.63,61.23
7473,Cc1ccc(cc1)N(=O)=O,5.045,-7.3629999999999995,-2.318,5.2,3.752,0.0,4.2780000000000005,0.0007,4.284,0.0135,4.462,,0.0,0.0,45.82,2.426,40.23,46.95
35790,Cc1ccc2c(c1)scc2,5.146,-5.744,-0.599,0.74,4.588,0.0683,4.716,0.0309,4.999,0.0001,5.36,,1.0,0.0,28.24,3.21,46.79,51.72
18675,NNCCN(Cc1cccc(c1)OC)C,5.3229999999999995,-5.279,0.044000000000000004,1.57,4.702,0.0035,4.775,0.0023,4.919,0.0409,4.998,,4.0,2.0,50.52,1.681,60.73,95.33
40080,COc1ccc2c(c1)s/c(=N/C)/[nH]2,4.863,-5.154,-0.29100000000000004,2.73,4.149,0.0935,4.1530000000000005,0.0026,4.562,0.0021,4.762,,4.0,1.0,62.39,2.42,55.42,104.05
13072,C/N=C(\Oc1cccc(c1)C(C)(C)C)/O,6.263999999999999,-6.2989999999999995,-0.035,1.56,5.195,0.0059,5.6370000000000005,0.1019,5.817,0.0069,5.912000000000001,,3.0,1.0,38.33,3.093,60.4,76.45
2214,COc1cc(ccc1O)C(=O)C,4.92,-6.166,-1.246,3.26,3.8169999999999997,0.0003,4.437,0.113,4.821000000000001,0.1246,5.25,,3.0,1.0,46.53,1.6030000000000002,45.15,85.3
25323,ONc1ccc(cc1)C(=O)C,4.811,-5.997000000000001,-1.186,4.0,3.815,0.0001,4.482,0.4031,4.6819999999999995,0.0003,5.2170000000000005,,3.0,2.0,49.33,1.7630000000000001,41.86,128.34
18165,CCNc1ccc(cc1)NCC,4.787,-4.397,0.389,0.0,3.958,0.0425,4.143,0.0,4.319,0.0112,4.456,,2.0,2.0,24.06,2.696,54.67,72.1
40116,Nc1ccc2c(c1)c(O)ccc2,4.362,-4.925,-0.563,1.38,3.781,0.0496,4.289,0.0299,4.414,0.0004,4.5760000000000005,,2.0,2.0,46.25,2.7089999999999996,50.38,138.78
20900,CC(=O)c1c[nH]c2c1cc(cc2)N(=O)=O,4.378,-6.501,-2.123,9.65,3.6510000000000002,0.0387,3.705,0.0001,3.755,0.0,4.203,,1.0,1.0,78.68,2.802,57.32,170.62
5123,OC(=O)[C@H](Cn1ccc(nc1=O)O)N,5.178,-6.817,-1.6380000000000001,5.94,4.575,0.0352,4.791,0.036000000000000004,4.917,0.0028,5.16,,6.0,3.0,118.18,-1.351,46.68,253.72
30999,C[C@@H](Cc1ccc2c(c1)[nH]cc2)N,5.178,-5.32,-0.142,2.31,4.587,0.1177,4.711,0.0075,4.75,0.036000000000000004,5.126,,1.0,2.0,41.81,2.758,55.59,152.68
26851,CCN(CCOc1ccc(cc1)C(=O)C)CC,4.64,-5.81,-1.17,4.86,3.8369999999999997,0.0001,4.081,0.0,4.669,0.4437,4.801,,3.0,0.0,29.54,2.61,70.06,43.64
17819,Oc1ccc(c(c1)C)N,5.192,-4.944,0.248,2.09,4.362,0.0268,4.447,0.0427,4.533,0.0013,5.021,,2.0,2.0,46.25,1.864,37.84,98.28
11140,COc1cccc(c1)N(=O)=O,4.263999999999999,-6.642,-2.378,4.08,3.53,0.0401,3.737,0.0,4.268,0.0003,4.537,,1.0,0.0,55.05,2.127,41.76,48.22
11378,O=c1ccc2c(c1)[nH]ccc2,3.2439999999999998,-5.178,-1.935,7.58,2.826,0.1094,2.897,0.0,4.138,0.0027,4.144,,1.0,1.0,32.86,1.528,44.57,130.37
20702,Oc1ccc(cc1)C(=O)c1cc(oc1C)C,4.555,-5.853,-1.298,2.23,3.69,0.0028,3.926,0.1113,4.5089999999999995,0.2531,4.763999999999999,,3.0,1.0,50.44,2.833,60.54,113.63
8692,OC[C@H](COC(=O)c1ccc(cc1)N)O,4.849,-6.019,-1.17,7.41,4.54,0.5225,4.7,0.0048,5.006,0.0007,5.044,,5.0,3.0,92.78,0.36,54.06,115.33
10822,CCc1ccncc1,6.2829999999999995,-6.781000000000001,-0.498,2.67,4.917,0.005,5.152,0.0,5.455,0.0269,6.1370000000000005,,1.0,0.0,12.89,1.6440000000000001,34.01,21.99
