PCCDB-ID,Open Babel SMILES,HOMO-LUMO gap,HOMO energy,LUMO energy,Dipole moment,Excitation energy (1st),Oscillator strength (1st),Excitation energy (2nd),Oscillator strength (2nd),Excitation energy (3rd),Oscillator strength (3rd),Excitation energy (4th),Oscillator strength (4th),Num. of H bond acceptor,Num. of H bond donor,TPSA,logP,Molecular refractivity,Melting point
30903,COC(=O)CN1CCCC1,6.106,-5.85,0.256,1.46,4.857,0.0036,5.397,0.0204,5.7410000000000005,0.0015,5.876,,3.0,0.0,29.54,0.193,41.74,10.43
7335,CC(=O)O[C@@H]1C[C@H](CC=C1C)C(=C)C,6.724,-6.313,0.41100000000000003,1.73,5.648,0.0047,5.7170000000000005,0.0128,5.886,0.0163,6.017,,2.0,0.0,26.3,2.85,58.02,0.5
18818,C=C1CC[C@@]2([C@H]1C2)C(C)C,6.787000000000001,-6.0,0.7859999999999999,0.9,5.6,0.0446,5.88,0.1212,5.979,0.0256,6.105,,0.0,0.0,0.0,2.9989999999999997,45.22,17.45
12558,C1CN2[C@H](C1)CCC2,7.377000000000001,-5.353,2.025,1.04,4.961,0.0131,5.287999999999999,0.0033,5.3660000000000005,0.037000000000000005,5.532,,1.0,0.0,3.24,1.183,38.35,20.57
10785,O[C@H]1CCCCC1=O,6.242000000000001,-7.021,-0.778,3.26,4.47,0.0,5.459,0.0188,6.625,0.0035,6.825,,2.0,1.0,37.3,0.49,30.2,36.02
11467,CC(=C1CCC(CC1)(C)O)C,6.7589999999999995,-5.992000000000001,0.767,1.46,5.434,0.0555,5.78,0.0877,5.999,0.0147,6.104,,1.0,1.0,20.23,2.648,48.8,39.63
9960,O[C@H]1COCC1,8.781,-6.765,2.016,1.56,6.331,0.011000000000000001,6.702999999999999,0.0146,7.011,0.008,7.102,,2.0,1.0,29.46,-0.23199999999999998,21.47,7.01
37209,OC(=N)/C=C/C1=NCCC1,4.806,-6.718999999999999,-1.913,5.02,4.118,0.001,4.32,0.055,4.471,0.2601,5.085,,3.0,1.0,55.45,0.39899999999999997,43.09,98.64
19826,C[C@@H]1C[C@H](C(=O)O1)CC=C,7.222,-6.992999999999999,0.22899999999999998,4.26,5.599,0.002,6.319,0.0069,6.627999999999999,0.1027,6.688,,2.0,0.0,26.3,1.514,39.27,-13.47
16544,OCC1(CO)CCC=CC1,7.202999999999999,-6.648,0.555,2.71,5.849,0.0059,6.062,0.0035,6.202999999999999,0.0081,6.504,,2.0,2.0,40.46,0.698,40.05,60.4
31448,C=C[C@@H]1O[C@H](C)CC(O1)(C)C,7.064,-6.742999999999999,0.321,1.78,5.745,0.0004,6.227,0.0034,6.354,0.0191,6.559,,2.0,0.0,18.46,2.103,45.0,-33.45
17795,C1C[C@@H]2[C@@H](C1)[C@@H]1C[C@H]2CC1,9.881,-7.597,2.283,0.05,7.099,0.0047,7.159,0.0037,7.409,0.0157,7.449,,0.0,0.0,0.0,2.833,43.84,38.52
20986,O=C1[C@H]2CCC[C@@H]1C=CC2,5.962000000000001,-6.144,-0.182,3.09,4.2139999999999995,0.0005,5.567,0.0014,5.6,0.0184,5.736000000000001,,1.0,0.0,17.07,1.932,40.88,47.78
14498,C[C@@H]1CCC[C@@H]1C,10.226,-8.076,2.15,0.11,7.54,0.0117,7.653,0.0135,7.819,0.0077,8.017999999999999,,0.0,0.0,0.0,2.4419999999999997,33.65,-4.65
17148,C[C@@H]1CCC[C@@H]1C,10.144,-8.062999999999999,2.082,0.1,7.487,0.0064,7.675,0.012,7.778,0.0156,7.978,,0.0,0.0,0.0,2.4419999999999997,33.65,-4.65
32735,O=C1CC[C@H]2C[C@@H]1C2(C)C,6.132999999999999,-6.3020000000000005,-0.16899999999999998,3.13,4.313,0.0001,5.932,0.0103,6.265,0.0003,6.4270000000000005,,1.0,0.0,17.07,2.012,41.09,56.68
8818,OC(=O)CCC1CCCC1,7.676,-7.3420000000000005,0.335,4.17,5.742000000000001,0.0003,6.393,0.0157,7.165,0.0017,7.4079999999999995,,2.0,1.0,37.3,2.041,40.23,71.85
27184,CSC(=S)O[C@@H]1CCCC[C@@H]1C,4.838,-5.94,-1.102,3.48,3.426,0.0,4.702,0.0693,5.303999999999999,0.1321,5.405,,3.0,0.0,66.62,3.23,59.73,24.4
16441,O=CC1=CC[C@@H](CC1)C(=C)C,5.35,-6.675,-1.325,3.7,3.78,0.0003,4.637,0.0209,5.547999999999999,0.3017,5.9670000000000005,,1.0,0.0,17.07,2.488,47.32,21.11
16823,OC(=O)[C@H]1CC=CC[C@@H]1C(=O)O,6.962999999999999,-7.372000000000001,-0.408,1.64,5.422000000000001,0.0058,5.585,0.0003,5.9270000000000005,0.0025,6.228,,4.0,2.0,74.6,0.738,41.53,158.79
9985,CCC[C@H]1CCCCN1,7.965,-5.685,2.28,1.08,5.317,0.0119,5.462000000000001,0.0134,5.806,0.0134,5.862,,1.0,1.0,12.03,2.2569999999999997,45.17,21.87
2606,C#CCOC(=O)[C@@H]1CNC=NC1,6.131,-6.037999999999999,0.09300000000000001,2.17,5.025,0.0018,5.412999999999999,0.0003,5.492999999999999,0.0141,5.763999999999999,,4.0,1.0,50.69,-0.825,51.63,69.52
4838,OS(C1CCNCC1)([O])[O],7.246,-6.395,0.852,4.6,5.396,0.0042,5.877000000000001,0.0022,6.2589999999999995,0.0864,6.353,,4.0,2.0,74.78,1.036,41.29,104.84
27568,NCC[C@H]1CCCCN1,7.888999999999999,-5.625,2.2640000000000002,1.42,5.216,0.0138,5.401,0.0101,5.44,0.0122,5.768,,2.0,2.0,38.05,1.506,43.07,76.78
5520,C[P@@](=O)(C1=CCNCC1)O,5.859,-6.106,-0.248,2.21,4.734,0.0006,5.324,0.0023,5.809,0.009000000000000001,5.9270000000000005,,2.0,1.0,66.55,1.745,44.34,95.56
5521,C[P@@](=O)(C1=CCNCC1)O,5.861000000000001,-6.109,-0.248,2.21,4.737,0.0006,5.3260000000000005,0.0023,5.812,0.009000000000000001,5.928999999999999,,3.0,2.0,59.14,1.093,44.91,84.94
7405,OC(=O)[C@H]1CCC(=N1)O,6.832999999999999,-6.885,-0.052000000000000005,6.5,5.551,0.0021,5.843999999999999,0.0013,6.215,0.0614,6.381,,4.0,2.0,66.4,-0.322,32.72,122.41
36619,C1=CC=C2[C@@H](C=C1)CCC2,4.751,-5.499,-0.748,0.74,4.083,0.0867,4.824,0.0032,5.154,0.0008,5.45,,0.0,0.0,0.0,2.839,44.53,48.73
849,OC(=O)[C@H]1CCCCN1,7.207999999999999,-6.832999999999999,0.376,5.09,5.5089999999999995,0.0007,5.922999999999999,0.0102,6.277,0.005,6.398,,3.0,2.0,49.33,0.542,37.33,100.35
7499,C=C[C@@H]1CCC=CC1,7.059,-6.4110000000000005,0.648,0.32,5.875,0.0151,6.013,0.005,6.335,0.034,6.382000000000001,,0.0,0.0,0.0,2.529,37.51,-16.12
1344,NCCN1CCCC1,7.6739999999999995,-5.577999999999999,2.095,0.51,5.132000000000001,0.0205,5.406000000000001,0.006,5.608,0.0046,5.617999999999999,,2.0,1.0,29.26,0.679,38.36,52.9
13223,O=C1OC(=O)[C@@H]2[C@@H]1[C@@H]1C=C[C@H]2C1,6.308,-7.211,-0.903,4.97,5.222,0.001,5.361000000000001,0.0007,5.522,0.0014,6.271,,3.0,0.0,43.37,0.508,40.05,82.8
19494,OC(=O)C1CCC1,7.486000000000001,-7.252000000000001,0.23399999999999999,4.29,5.6,0.0017,6.376,0.0113,7.169,0.0082,7.343999999999999,,2.0,1.0,37.3,0.871,25.81,73.84
38621,O=C[C@]1(C)CCC(=C(C1)C)C,5.687,-6.182,-0.495,2.79,4.2330000000000005,0.0002,4.7410000000000005,0.0001,5.586,0.0081,6.021,,1.0,0.0,17.07,2.7119999999999997,47.54,60.4
9895,O=CC1=C(C)CCCC1(C)C,5.102,-6.433,-1.331,3.72,3.54,0.0003,5.197,0.2877,5.973,0.0001,5.995,,1.0,0.0,17.07,2.7119999999999997,47.54,60.4
16071,O[C@H]1CC[C@H]2C[C@@H]1CC2,8.474,-6.846,1.6269999999999998,1.83,6.221,0.0049,6.763999999999999,0.0035,6.952999999999999,0.018000000000000002,7.085,,1.0,1.0,20.23,1.557,37.5,35.88
18398,O=C1CCC(O1)(C)C,7.565,-7.097,0.46799999999999997,4.52,5.688,0.0001,6.59,0.0142,7.205,0.0102,7.2379999999999995,,2.0,0.0,26.3,1.102,30.16,19.48
7525,CCN1CCOCC1,8.264,-5.84,2.425,1.37,5.593999999999999,0.0125,5.848,0.0405,5.949,0.0756,6.069,,2.0,0.0,12.47,0.276,36.74,-10.3
20903,OC(=O)[C@@H]1CCC=CC1,6.917000000000001,-7.01,-0.09300000000000001,4.83,5.532,0.0005,6.229,0.0249,6.279,0.0046,6.515,,2.0,1.0,37.3,1.4269999999999998,34.95,82.3
2901,OC(=O)C1(N)CCCC1,7.266,-6.672000000000001,0.593,5.51,5.506,0.0012,5.847,0.0052,6.791,0.0459,6.926,,3.0,2.0,63.32,1.043,33.36,138.45
2172,OC(=O)[C@@H]1N2[C@@H](O/C/1=C/CO)CC2=O,5.51,-6.602,-1.091,6.27,4.758,0.0031,5.169,0.0054,5.52,0.0037,5.569,,6.0,2.0,87.07,-1.158,46.9,141.33
13035,CC1(C)CCCC(N1)(C)C,7.54,-5.646,1.8940000000000001,0.91,5.207999999999999,0.0212,5.723,0.0003,5.744,0.0,5.879,,1.0,1.0,12.03,2.6460000000000004,50.06,43.25
