PCCDB-ID,Open Babel SMILES,HOMO-LUMO gap,HOMO energy,LUMO energy,Dipole moment,Excitation energy (1st),Oscillator strength (1st),Excitation energy (2nd),Oscillator strength (2nd),Excitation energy (3rd),Oscillator strength (3rd),Excitation energy (4th),Oscillator strength (4th),Num. of H bond acceptor,Num. of H bond donor,TPSA,logP,Molecular refractivity,Melting point
35968,CCC1(CC)O[C@@H]([C@H]([C@H]1O)O)C,7.875,-6.697,1.178,1.64,5.91,0.0052,6.317,0.0017,6.528,0.0098,6.542999999999999,,3.0,2.0,49.69,0.6859999999999999,46.71,33.33
7868,CC(=C)CC(C)(C)C,7.127000000000001,-6.457000000000001,0.669,0.42,6.002000000000001,0.028999999999999998,6.318,0.1535,6.562,0.0097,6.617999999999999,,0.0,0.0,0.0,2.9989999999999997,39.84,-26.38
38934,CC(C(=O)CCC(=O)O)C,5.649,-6.942,-1.2930000000000001,6.15,4.452,0.001,5.0889999999999995,0.0033,5.542999999999999,0.002,6.148,,3.0,1.0,54.37,1.0759999999999998,37.73,71.32
641,O[C@@H]([C@H](C(=O)C)O)COP(=O)(O)O,5.638,-6.9879999999999995,-1.35,3.25,4.05,0.0017,5.563,0.0091,5.946000000000001,0.0007,6.087999999999999,,7.0,4.0,134.1,-1.5930000000000002,40.74,112.46
28965,CC[C@H](CCC(=O)C)C,6.348,-6.596,-0.248,2.61,4.435,0.0001,6.056,0.0289,6.649,0.0,6.778,,1.0,0.0,17.07,2.4019999999999997,40.77,-6.5
11176,CCCOC(=O)CC(C)C,7.712000000000001,-7.271,0.441,1.48,5.818,0.0007,6.986000000000001,0.0246,7.353,0.0189,7.495,,2.0,0.0,26.3,1.986,41.85,-15.45
32478,CC([C@@H]1[C@H](C1=C(C)C)C)C,6.852,-6.138999999999999,0.713,0.13,5.723,0.0068,6.05,0.1077,6.142,0.0053,6.272,,0.0,0.0,0.0,3.245,47.6,9.99
39555,CCC(=CC(=O)C(C)C)CC,5.061,-6.291,-1.23,2.64,3.5589999999999997,0.0006,5.297999999999999,0.4002,5.779,0.0052,6.221,,1.0,0.0,17.07,2.958,49.91,5.38
7461,CC1=CCC(=CC1)C(C)C,6.792000000000001,-5.928999999999999,0.863,0.03,5.454,0.0028,5.6579999999999995,0.0001,5.843999999999999,0.0114,5.933,,0.0,0.0,0.0,3.3089999999999997,47.12,19.78
10982,CC(CCC[C@H](N)C)C,8.327,-6.242000000000001,2.084,1.41,5.709,0.0413,6.329,0.0063,6.445,0.0006,6.553,,1.0,1.0,26.02,2.86,43.28,26.36
31841,CC(Oc1cccs1)(C)C,5.774,-5.8229999999999995,-0.049,1.73,5.225,0.0954,5.309,0.0612,5.504,0.0025,5.718,,2.0,0.0,37.47,2.925,45.27,16.68
31469,CCC[C@]1(COC)CO[C@@H](OC1)C(C)C,8.838,-6.672000000000001,2.166,2.55,6.292999999999999,0.0271,6.595,0.0028,6.655,0.0013,6.678999999999999,,3.0,0.0,27.69,2.448,60.68,-16.13
9862,CC(=O)CCC=C(C)C,5.886,-6.162999999999999,-0.278,2.62,4.382,0.0002,5.226,0.0009,5.635,0.0287,6.002000000000001,,1.0,0.0,17.07,2.322,40.3,6.71
31361,CCOC(OCC)(C)C,9.306000000000001,-6.944,2.362,0.19,6.707999999999999,0.0037,6.808,0.0032,7.065,0.0019,7.084,,2.0,0.0,18.46,1.796,37.97,-34.1
14477,C=CC(NC(C)(C)C)(C)C,6.207000000000001,-5.636,0.5710000000000001,0.64,5.08,0.0342,5.23,0.0252,5.742999999999999,0.0016,5.837000000000001,,1.0,1.0,12.03,2.73,47.78,0.07
14489,CC(=O)OCC=C(C)C,6.917000000000001,-6.58,0.337,1.4,5.782,0.002,6.1,0.0132,6.193,0.0199,6.362,,2.0,0.0,26.3,1.516,36.57,-1.58
23711,CC(OC(=O)/C=C/C(=O)OC(C)C)C,5.382000000000001,-7.478,-2.095,0.1,4.148,0.0001,4.2860000000000005,0.0008,5.431,0.0634,5.4670000000000005,,4.0,0.0,52.6,1.446,52.28,5.45
15297,CC[C@@](CCC(C)C)(O)C,8.885,-7.042000000000001,1.8419999999999999,1.38,6.364,0.012,7.058,0.0009,7.224,0.0064,7.324,,1.0,1.0,20.23,2.5839999999999996,46.58,1.09
7346,CC(C(=O)OC(=O)C(C)C)C,6.593,-7.285,-0.691,3.56,4.988,0.0042,5.489,0.0,6.421,0.0005,6.787000000000001,,3.0,0.0,43.37,1.368,42.05,5.94
34072,O=C[C@@H](CC(C)C)C,6.153,-6.729,-0.5770000000000001,2.61,4.194,0.0002,6.462000000000001,0.0091,6.736000000000001,0.0239,6.86,,1.0,0.0,17.07,1.867,35.96,4.5
27732,CCC[C@H](C[C@H](NC1CC1)C)C,7.989,-5.905,2.084,0.89,5.426,0.0098,5.8420000000000005,0.0525,5.872999999999999,0.0099,6.112,,1.0,1.0,12.03,3.344,55.68,19.87
34722,CC([C@H]1OC(C[C@H]1O)(C)C)C,8.493,-6.653,1.84,1.37,6.154,0.0114,6.472,0.013000000000000001,6.681,0.0033,6.832000000000001,,2.0,1.0,29.46,1.571,45.55,14.71
22218,CCC(CCC=O)(C)C,6.362,-6.843999999999999,-0.48200000000000004,2.57,4.343999999999999,0.0002,6.403,0.0224,6.817,0.0332,6.905,,1.0,0.0,17.07,2.4019999999999997,40.51,22.52
11160,COC(=O)CC(C)C,7.72,-7.317,0.40299999999999997,1.51,5.821000000000001,0.0008,6.962999999999999,0.0216,7.443,0.0117,7.66,,2.0,0.0,26.3,1.206,32.24,-14.12
18852,CCC(C=C)(C)C,7.516,-6.789,0.727,0.3,6.398,0.0343,6.796,0.0093,6.8839999999999995,0.0122,6.966,,0.0,0.0,0.0,2.609,35.03,-29.14
39145,CC/C=C/C(C)C,7.263,-6.414,0.8490000000000001,0.06,6.112,0.0506,6.377999999999999,0.0891,6.446000000000001,0.0017,6.749,,0.0,0.0,0.0,2.609,35.29,-17.44
15436,CSC(/C=N/O)(C)C,5.829,-6.027,-0.19899999999999998,1.4,4.686,0.03,5.433,0.0035,5.744,0.033,5.93,,3.0,1.0,57.89,1.588,38.19,65.86
7758,CC[C@H](OC(=O)C)C,7.693,-7.23,0.46299999999999997,1.91,5.797000000000001,0.0012,6.972,0.0366,7.456,0.0143,7.534,,2.0,0.0,26.3,1.348,32.24,-14.12
18144,COCN1[C@H](O)[C@H](N(C1=O)COC)O,8.139,-7.042000000000001,1.097,0.17,6.479,0.0033,6.635,0.1651,6.731,0.0194,6.874,,7.0,2.0,82.47,-1.556,52.35,51.68
12198,CC(=O)OC[C@@H](OC(=O)C)C,7.577999999999999,-7.396,0.182,2.8,5.803,0.0011,5.816,0.0011,6.962000000000001,0.0031,7.087000000000001,,4.0,0.0,52.6,0.501,38.33,-2.34
11261,CC[C@H]([C@H](O)C)C,8.955,-7.034,1.921,1.62,6.438,0.0079,7.023,0.0029,7.2,0.0272,7.268,,1.0,1.0,20.23,1.413,32.12,-7.94
11542,CCCC(C)(C)C,10.277999999999999,-8.155,2.123,0.06,7.6770000000000005,0.0575,7.8389999999999995,0.054000000000000006,7.932,0.052000000000000005,8.129,,0.0,0.0,0.0,2.833,35.5,-8.54
25611,CCCCC(=O)C(C)C,6.24,-6.474,-0.23399999999999999,2.48,4.359,0.0005,5.955,0.0027,6.63,0.0063,6.6610000000000005,,1.0,0.0,17.07,2.4019999999999997,40.77,-6.5
28025,CC[C@H](C(CC)(C)C)C,10.036,-7.877999999999999,2.158,0.05,7.414,0.0051,7.518,0.0111,7.62,0.006999999999999999,7.781000000000001,,0.0,0.0,0.0,3.469,45.12,-9.87
701,CCOC(=O)[C@H](C(=O)C)C,6.289,-6.795,-0.506,3.76,4.4030000000000005,0.0002,5.648,0.002,5.756,0.0114,6.212000000000001,,3.0,0.0,43.37,0.775,37.25,6.61
14473,CC(CC(=C)C(=O)C)C,5.26,-6.707999999999999,-1.4480000000000002,2.67,3.645,0.0003,5.442,0.1717,6.115,0.0065,6.207000000000001,,1.0,0.0,17.07,2.178,40.3,-23.68
17656,CCCC=C(C)C,7.105,-6.136,0.9690000000000001,0.21,5.7379999999999995,0.0045,6.183,0.0065,6.244,0.061,6.367000000000001,,0.0,0.0,0.0,2.753,35.29,-14.02
38478,C=C1CC(C)(C)CC(=C)C1(C)C,6.814,-6.465,0.348,0.49,5.895,0.0953,6.0120000000000005,0.0305,6.062,0.0,6.183,,0.0,0.0,0.0,3.945,56.22,-4.95
23228,CCO/C(=N\CN(C)C)/O,6.849,-5.445,1.4040000000000001,2.42,5.05,0.0049,5.442,0.0023,5.605,0.0039,5.723,,4.0,1.0,41.57,0.642,38.33,26.03
